"CÓDIGO CNAE","LINK CNAE","DESCRIÇÃO CNAE","CÓDIGO SERVIÇO","DESCRIÇÃO SERVIÇO","LOCAL DE RECOLHIMENTO - ISS"
"3250706","https://www.contabilizei.com.br/consulta-cnae/fabricacao-de-produtos-diversos/3250706-servicos-de-protese-dentaria/","Serviços de prótese dentária","01.01","Análise e desenvolvimento de sistemas.","ISS devido no local do Estabelecimento do Prestador"
"3250706","https://www.contabilizei.com.br/consulta-cnae/fabricacao-de-produtos-diversos/3250706-servicos-de-protese-dentaria/","Serviços de prótese dentária","01.02","Programação.","ISS devido no local do Estabelecimento do Prestador"
"3250709","https://www.contabilizei.com.br/consulta-cnae/fabricacao-de-produtos-diversos/3250709-servico-de-laboratorio-optico/","Serviço de laboratório óptico","01.03","Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"3250709","https://www.contabilizei.com.br/consulta-cnae/fabricacao-de-produtos-diversos/3250709-servico-de-laboratorio-optico/","Serviço de laboratório óptico","01.04","Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres. (Redação dada pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"4399101","https://www.contabilizei.com.br/consulta-cnae/servicos-especializados-para-construcao/4399101-administracao-de-obras/","Administração de obras","01.05","Licenciamento ou cessão de direito de uso de programas de computação.","ISS devido no local do Estabelecimento do Prestador"
"4512901","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4512901-representantes-comerciais-e-agentes-do-comercio-de-veiculos-automotores/","Representantes comerciais e agentes do comércio de veículos automotores","01.06","Assessoria e consultoria em informática.","ISS devido no local do Estabelecimento do Prestador"
"4530702","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530702-comercio-por-atacado-de-pneumaticos-e-camaras-de-ar/","Comércio por atacado de pneumáticos e câmaras-de-ar","01.07","Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.","ISS devido no local do Estabelecimento do Prestador"
"4530703","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530703-comercio-a-varejo-de-pecas-e-acessorios-novos-para-veiculos-automotores/","Comércio a varejo de peças e acessórios novos para veículos automotores","01.08","Planejamento, confecção, manutenção e atualização de páginas eletrônicas.","ISS devido no local do Estabelecimento do Prestador"
"4530704","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530704-comercio-a-varejo-de-pecas-e-acessorios-usados-para-veiculos-automotores/","Comércio a varejo de peças e acessórios usados para veículos automotores","01.09","Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei no 12.485, de 12 de setembro de 2011, sujeita ao ICMS). (Incluído pela Lei Complementar nº 157, de 2016)","ISS devido no local do Estabelecimento do Prestador"
"4530705","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530705-comercio-a-varejo-de-pneumaticos-e-camaras-de-ar/","Comércio a varejo de pneumáticos e câmaras-de-ar","02.01","Serviços de pesquisas e desenvolvimento de qualquer natureza.","ISS devido no local do Estabelecimento do Prestador"
"4530706","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4530706-representantes-comerciais-e-agentes-do-comercio-de-pecas-e-acessorios-novos-e-usados-para-veiculos-automotores/","Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores","03.02","Cessão de direito de uso de marcas e de sinais de propaganda.","ISS devido no local do Estabelecimento do Prestador"
"4541202","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541202-comercio-por-atacado-de-pecas-e-acessorios-para-motocicletas-e-motonetas/","Comércio por atacado de peças e acessórios para motocicletas e motonetas","03.03","Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.","ISS devido no local do Estabelecimento do Prestador"
"4541206","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541206-comercio-a-varejo-de-pecas-e-acessorios-novos-para-motocicletas-e-motonetas/","Comércio a varejo de peças e acessórios novos para motocicletas e motonetas","03.04","Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.","ISS devido em cada municipio proporcionalmente"
"4541207","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4541207-comercio-a-varejo-de-pecas-e-acessorios-usados-para-motocicletas-e-motonetas/","Comércio a varejo de peças e acessórios usados para motocicletas e motonetas","03.05","Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.","ISS devido no local da execução do serviço"
"4542101","https://www.contabilizei.com.br/consulta-cnae/comercio-e-reparacao-de-veiculos-automotores-e-motocicletas/4542101-representantes-comerciais-e-agentes-do-comercio-de-motocicletas-e-motonetas-pecas-e-acessorios/","Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios","04.01","Medicina e biomedicina.","ISS devido no local do Estabelecimento do Prestador"
"4611700","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4611700-representantes-comerciais-e-agentes-do-comercio-de-materias-primas-agricolas-e-animais-vivos/","Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos","04.02","Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4612500","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4612500-representantes-comerciais-e-agentes-do-comercio-de-combustiveis-minerais-produtos-siderurgicos-e-quimicos/","Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos","04.03","Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.","ISS devido no local do Estabelecimento do Prestador"
"4613300","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4613300-representantes-comerciais-e-agentes-do-comercio-de-madeira-material-de-construcao-e-ferragens/","Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens","04.04","Instrumentação cirúrgica.","ISS devido no local do Estabelecimento do Prestador"
"4614100","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4614100-representantes-comerciais-e-agentes-do-comercio-de-maquinas-equipamentos-embarcacoes-e-aeronaves/","Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves","04.05","Acupuntura.","ISS devido no local do Estabelecimento do Prestador"
"4615000","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4615000-representantes-comerciais-e-agentes-do-comercio-de-eletrodomesticos-moveis-e-artigos-de-uso-domestico/","Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico","04.06","Enfermagem, inclusive serviços auxiliares.","ISS devido no local do Estabelecimento do Prestador"
"4616800","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4616800-representantes-comerciais-e-agentes-do-comercio-de-texteis-vestuario-calcados-e-artigos-de-viagem/","Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem","04.07","Serviços farmacêuticos.","ISS devido no local do Estabelecimento do Prestador"
"4617600","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4617600-representantes-comerciais-e-agentes-do-comercio-de-produtos-alimenticios-bebidas-e-fumo/","Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo","04.08","Terapia ocupacional, fisioterapia e fonoaudiologia.","ISS devido no local do Estabelecimento do Prestador"
"4618401","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618401-representantes-comerciais-e-agentes-do-comercio-de-medicamentos-cosmeticos-e-produtos-de-perfumaria/","Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria","04.09","Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.","ISS devido no local do Estabelecimento do Prestador"
"4618402","https://www.contabilizei.com.br/consulta-cnae/comercio-por-atacado-exceto-veiculos-automotores-e-motocicletas/4618402-representantes-comerciais-e-agentes-do-comercio-de-instrumentos-e-materiais-odonto-medico-hospitalares/","Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares","04.10","Nutrição.","ISS devido no local do Estabelecimento do Prestador"
